symbol,control_1
A2M,7.7757
A4GALT,7.5048
AAAS,8.9854
AACS,9.6064
AADAC,2.9547
AADAT,6.6839
AAGAB,9.707
AAK1,10.6507
AAMDC,7.6822
AAMP,10.5922
AAR2,9.3568
AARS1,11.6061
AARS2,8.4685
AARSD1,4.2487
AASDH,7.1456
AASDHPPT,9.7579
AASS,7.3138
AATF,10.6416
ABCA1,10.8129
ABCA10,2
ABCA13,3.808
ABCA2,10.093
ABCA5,5.6519
ABCA6,4.1505
ABCA7,5.8211
ABCA8,6.4355
ABCA9,4.5086
ABCB1,4.7287
ABCB10,8.623
ABCB6,7.7169
ABCB7,7.3024
ABCB8,8.8075
ABCB9,7.8558
ABCC1,10.6981
ABCC10,9.2835
ABCC2,3.808
ABCC3,8.3184
ABCC4,11.33
ABCC6,5.7888
ABCC9,7.9464
ABCD1,8.8433
ABCD3,9.9007
ABCD4,7.8002
ABCF1,8.4938
ABCF2-H2BE1,10.7886
ABCF3,9.7558
ABCG1,4.9197
ABCG2,5.8526
ABCG4,7.6556
ABHD1,4.3406
ABHD10,8.9123
ABHD11,6.8179
ABHD12,10.868
ABHD12B,3.9314
ABHD13,8.4272
ABHD14A,6.3047
ABHD14A-ACY1,4.3406
ABHD14B,8.422
ABHD15,7.8636
ABHD16B,6.4766
ABHD17A,10.333
ABHD17B,7.4847
ABHD17C,7.9967
ABHD18,6.4355
ABHD2,11.578
ABHD3,6.083
ABHD4,9.2601
ABHD5,8.5622
ABHD6,7.3363
ABHD8,7.0261
ABI1,9.8468
ABI2,11.8843
ABI3,3.5242
ABI3BP,6.3047
ABITRAM,7.8558
ABL1,11.6251
ABL2,10.7208
ABLIM1,9.0515
ABLIM3,11.6159
ABR,9.9435
ABRACL,8.6046
ABRAXAS1,7.4847
ABT1,8.1507
ABTB1,7.2794
ABTB2,7.1456
ACAA1,9.2183
ACAA2,9.315
ACACA,9.4475
ACACB,5.8526
ACAD10,8.0247
ACAD11,8.3792
ACAD8,7.9168
ACAD9,9.095
ACADM,8.8859
ACADS,5.8211
ACADSB,8.2724
ACADVL,11.5904
ACAN,5.722
ACAP1,4.427
ACAP2,10.3288
ACAT1,9.6853
ACAT2,8.8628
ACBD3,10.9533
ACBD4,5.3759
ACBD5,8.9198
ACBD6,9.0447
ACBD7,4.0451
ACCS,4.5858
ACD,7.7839
ACE,6.4355
ACER2,5.0883
ACER3,8.2006
ACHE,3.1705
ACIN1,11.3911
ACKR4,2.7008
ACLY,13.2716
ACMSD,2.9547
ACO1,12.0225
ACO2,10.697
ACOT1,6.5746
ACOT11,7.6822
ACOT13,8.1055
ACOT2,8.4787
ACOT4,3.1705
ACOT7,10.4843
ACOT8,8.1821
ACOT9,9.7929
ACOX1,9.8271
ACOX2,6.7525
ACOX3,8.6944
ACOXL,2.9547
ACP1,10.1734
ACP2,9.0136
ACP3,4.7952
ACP5,3.6731
ACP6,7.0535
ACP7,3.6731
ACSBG1,4.7952
ACSF2,7.8002
ACSF3,8.1633
ACSL1,9.5401
ACSL3,10.8757
ACSL4,11.5874
ACSL5,5.0883
ACSL6,6.5555
ACSM2A,3.3581
ACSM2B,3.1705
ACSS1,4.7287
ACSS2,9.1721
ACSS3,5.54
ACTA2,13.1762
ACTB,16.9942
ACTBL2,3.5242
ACTC1,4.659
ACTG1,16.6318
ACTG2,13.0944
ACTL10,3.6731
ACTL6A,9.618
ACTN1,14.6358
ACTN4,13.7308
ACTR10,9.949
ACTR1A,11.9061
ACTR1B,9.4807
ACTR2,13.3423
ACTR3,13.1242
ACTR3B,6.1353
ACTR5,6.6119
ACTR6,7.8083
ACTR8,9.1049
ACTRT3,6.1094
ACVR1,10.1687
ACVR1B,9.0031
ACVR1C,2.9547
ACVR2A,7.0535
ACVR2B,5.6519
ACVRL1,7.2677
ACYP1,5.7558
ADA,6.4766
ADAL,6.5166
ADAM10,11.9758
ADAM11,4.1505
ADAM12,9.6018
ADAM15,10.1951
ADAM17,9.4082
ADAM19,13.0483
ADAM2,8.1251
ADAM22,2.9547
ADAM23,9.2183
ADAM28,3.1705
ADAM32,5.54
ADAM33,11.8847
ADAM8,3.9314
ADAM9,13.6853
ADAMTS1,12.7523
ADAMTS10,6.9405
ADAMTS12,11.4594
ADAMTS13,4.2487
ADAMTS14,5.3318
ADAMTS15,7.3363
ADAMTS19,5.7558
ADAMTS2,11.4125
ADAMTS3,6.0009
ADAMTS4,5.8211
ADAMTS5,6.7014
ADAMTS6,8.39
ADAMTS7,8.8821
ADAMTS9,5.7888
ADAMTSL1,9.5807
ADAMTSL3,5.9724
ADAMTSL4,7.848
ADAMTSL5,7.5147
ADAP1,6.083
ADAP2,4.5858
ADAR,12.2261
ADARB1,9.4757
ADAT1,8.6636
ADAT2,6.1608
ADAT3,5.4603
ADCK1,6.1858
ADCK2,7.7254
ADCK5,6.7014
ADCY1,3.808
ADCY2,3.6731
ADCY3,9.4267
ADCY5,3.808
ADCY6,10.3933
ADCY7,8.8628
ADCY9,10.2119
ADD1,12.3377
ADD2,6.3932
ADGB,3.6731
ADGRA2,11.8018
ADGRA3,10.1209
ADGRB2,8.8394
ADGRE2,3.5242
ADGRE3,5.1404
ADGRE5,9.4782
ADGRF1,3.808
ADGRG1,8.0038
ADGRG2,3.5242
ADGRG6,8.9746
ADGRL1,6.9257
ADGRL2,9.095
ADGRL3,4.9781
ADGRL4,8.2666
ADGRV1,4.659
ADH1B,4.5858
ADH4,6.3496
ADH5,11.3412
ADHFE1,5.0343
ADI1,10.1982
ADIPOR1,10.6337
ADIPOR2,10.1418
ADIRF,4.9197
ADK,9.1784
ADM,10.145
ADM2,8.7749
ADNP,10.4905
ADNP2,8.7118
ADO,8.9161
ADORA1,5.0343
ADORA2A,2
ADORA2B,6.7356
ADORA3,6.9839
ADPGK,10.4665
ADPRHL1,4.1505
ADPRM,6.2104
ADPRS,8.7458
ADRA1B,5.54
ADRA1D,4.5086
ADRB2,5.7558
ADRM1,11.0544
ADSL,10.221
ADSS1,5.0343
ADSS2,10.3161
ADTRP,4.1505
AEBP1,8.2128
AEBP2,8.9711
AEN,10.5829
AFAP1,12.6098
AFAP1L1,7.4124
AFAP1L2,2.3925
AFDN,9.1564
AFF1,9.6225
AFF2,5.0343
AFF3,9.6407
AFF4,11.9892
AFG1L,5.8211
AFMID,7.3138
AFTPH,8.4532
AGAP1,9.1877
AGAP2,7.6285
AGAP3,10.0202
AGAP4,6.0562
AGAP5,4.9781
AGAP6,6.8179
AGAP9,5.9724
AGBL3,3.1705
AGBL4,2.3925
AGBL5,8.7583
AGER,3.5242
AGFG1,10.4563
AGFG2,7.6909
AGGF1,9.0515
AGK,8.2666
AGL,8.5859
AGMAT,4.427
AGO1,10.1029
AGO2,10.4893
AGO3,8.5527
AGO4,7.6376
AGPAT1,11.0235
AGPAT2,9.2921
AGPAT3,11.1093
AGPAT4,7.3251
AGPAT5,8.2607
AGPS,9.739
AGR3,7.2321
AGT,4.1505
AGTPBP1,7.423
AGTR1,3.9314
AGTRAP,8.543
AHCTF1,10.5301
AHCY,10.9165
AHCYL1,11.4184
AHCYL2,8.0924
AHDC1,9.4188
AHI1,8.9011
AHNAK,15.6437
AHNAK2,9.7284
AHR,9.6475
AHRR,10.1482
AHSA1,10.5459
AHSA2P,7.6734
AIDA,11.3837
AIFM1,9.2031
AIFM2,7.7254
AIFM3,3.6731
AIG1,8.0385
AIMP1,9.5546
AIMP2,8.6813
AIP,8.8859
AIPL1,9.1179
AJM1,6.6303
AJUBA,10.1466
AK1,9.7263
AK2,10.4843
AK3,9.9868
AK4,7.6193
AK5,10.2286
AK6,6.2817
AK9,6.1094
AKAP1,7.7757
AKAP10,9.0549
AKAP11,10.5615
AKAP12,11.4892
AKAP13,10.2376
AKAP17A,9.0851
AKAP5,5.3759
AKAP6,5.0883
AKAP7,4.9197
AKAP8,8.7625
AKAP8L,9.1721
AKAP9,10.3566
AKIP1,8.3296
AKIRIN1,11.0829
AKIRIN2,9.1532
AKNA,8.3013
AKR1A1,9.7027
AKR1B1,11.1512
AKR1B10,5.8526
AKR1B15,4.8588
AKR1C1,7.5343
AKR1C2,4.9781
AKR1C3,3.5242
AKR1D1,4.427
AKR1E2,3.808
AKR7A2,9.315
AKT1,11.8002
AKT1S1,10.8368
AKT2,11.0218
AKT3,10.0579
AKTIP,8.1759
ALAD,9.1596
ALAS1,9.4706
ALAS2,6.3716
ALCAM,12.9254
ALDH16A1,8.0924
ALDH18A1,11.4911
ALDH1A3,7.6645
ALDH1B1,9.5008
ALDH1L1,3.1705
ALDH1L2,10.9919
ALDH2,9.8893
ALDH4A1,8.6138
ALDH5A1,5.722
ALDH6A1,8.1696
ALDH8A1,2.3925
ALDH9A1,10.6905
ALDOA,14.2529
